query_tx_hash,sender_tx_hash,receiver_tx_hash,sender_address,receiver_address,sender_chain,receiver_chain,bridge_type,status,job_id
0x6ca7da148032506aeb69995823d72663a7d3c92b9da41b614260266a27cdf7b8,0x6ca7da148032506aeb69995823d72663a7d3c92b9da41b614260266a27cdf7b8,,0xa0c85ffaff895c0cf5aed1993dc6e3195adf593b,0x047669ebb4ec165d2bd5e78706e9aede04bf095a,arb1,eth,cctpv2,PENDING,YXJiMS8weDRjNDMxNzVmYmVhZDliYTk1YzNjZDFjNDcyOWRmYjQyNGRlYzBmMjlkZDdlODRiMDYxODdjYjZhYzMyYjcxYmI
0xebf82991f9466596d1c6cb9d9601c57da8109be33a5905bc83d7567f0678b10c,0xebf82991f9466596d1c6cb9d9601c57da8109be33a5905bc83d7567f0678b10c,0xb8fc0afbd30bf6d4525d5cc499b93fb8daad25b456d1cf1fb69d557cb83e63ee,0x5b3b60889685005c1d1deb269112bc14179c04dc,0x875d6d37ec55c8cf220b9e5080717549d8aa8eca,arb1,base,cctp,SUCCEEDED,YXJiMS84MjkyNjg
0x5322602e00ceb7ba702d5567faf0581c493e9f5c512bb1d55be2591b72caa3b7,0x5322602e00ceb7ba702d5567faf0581c493e9f5c512bb1d55be2591b72caa3b7,,0xa0c85ffaff895c0cf5aed1993dc6e3195adf593b,0x047669ebb4ec165d2bd5e78706e9aede04bf095a,arb1,eth,cctpv2,PENDING,YXJiMS8weDc5ZWNiYTYwNDQwZTFiMTBmMGQ3YWIxMDE3MTVkM2FkNzg3MTlkYzAwOGZlNmI2YzZiY2Q0YmM3MmUwOTM1ZWE
0x7910b87f0d2645f03d530460562b0966852e8771a8c12f42b30a861ec024c99a,0x7910b87f0d2645f03d530460562b0966852e8771a8c12f42b30a861ec024c99a,0x4333ea444c93991b939b2024dc0c1acebb3cbf2ae699b944ad335ef7c893aca1,0xee56e25c1e8dbfdd134c112e469dc35d700312f5,0xee56e25c1e8dbfdd134c112e469dc35d700312f5,arb1,pol,cctpv2,SUCCEEDED,YXJiMS8weDJiZWY0MWQxMGZjNmE3MjY2YmMxMzI4NWQ5ZTExMDA5NmNjYmZiYzc2YTcxODRhOWE4ZjQ0ZmIyZDVmN2ZiOTI
0x324a7e66df95a631d193d78dc0b7d5d7f7362d7c24513ee8fbcc8df1eab3d2b4,0x324a7e66df95a631d193d78dc0b7d5d7f7362d7c24513ee8fbcc8df1eab3d2b4,0xdba9de9af56171d7ddc2fb7050ca831d06f2f09776d16b6a082d08b663513a06,0xfd985296d61718898d699458a8a95134eb94a35c,0x875d6d37ec55c8cf220b9e5080717549d8aa8eca,arb1,pol,cctp,SUCCEEDED,YXJiMS84MjkxMTA
0xdeef97229ea7853a89d9095e175a826afbe4af738fd35a7a3d0246f37c4e4402,0xdeef97229ea7853a89d9095e175a826afbe4af738fd35a7a3d0246f37c4e4402,,0xa0c85ffaff895c0cf5aed1993dc6e3195adf593b,0x047669ebb4ec165d2bd5e78706e9aede04bf095a,arb1,eth,cctpv2,PENDING,YXJiMS8weGJiNGQ3OTdiNzdkYjU3MTcyNjU5MmZlZDRlMGVjNGU1YzFhMTMxZjliZTlmZTYwMTQ4MDEyNDdmM2EzYzZkYzI
0x1349b4006c1d3f3e518805ea5768993e54ed1aec13b9cf482628f4eb44a6fa27,0x1349b4006c1d3f3e518805ea5768993e54ed1aec13b9cf482628f4eb44a6fa27,0xcf20002155752034b8e6ca43482aae4ca4573b0a6126e8db4b145f253077bfae,0x02a76a8264d393a80bb8a044e8efe963735a6eac,0x875d6d37ec55c8cf220b9e5080717549d8aa8eca,arb1,base,cctp,SUCCEEDED,YXJiMS84MjkxNDc
0x23fc5aef0051f77bf459fba5298afffeb28f0e2101aef845c2ac8bb6240c44f1,0x23fc5aef0051f77bf459fba5298afffeb28f0e2101aef845c2ac8bb6240c44f1,,0xa0c85ffaff895c0cf5aed1993dc6e3195adf593b,0x047669ebb4ec165d2bd5e78706e9aede04bf095a,arb1,eth,cctpv2,PENDING,YXJiMS8weDkwMjUxNjdkNWQxOTA1N2YwYTMwNTYwZDBkZTlmNTk3NTYwNTRhMGVlNWEyMDI3NmU2OTU3MDRjMjUxYzNjMDM
0xbff71e5252c92282a7069c4228a06ebd47ac912faca6d018f533e6aad10f55fb,0xbff71e5252c92282a7069c4228a06ebd47ac912faca6d018f533e6aad10f55fb,0xc731644c0cf82a864d4ce76d61a858e2c7f2a86c1ae19c03dd549720cf0effd3,0x96b0447cdb5bb96e11a233c5a1ebd045a7425719,0x96b0447cdb5bb96e11a233c5a1ebd045a7425719,arb1,oeth,cctp,SUCCEEDED,YXJiMS84MjkwODU
0x58490ce2d9ee24c7fc49bcb5aeb0a8771d03cfafaf7f7f6f78a867318347f34f,0x58490ce2d9ee24c7fc49bcb5aeb0a8771d03cfafaf7f7f6f78a867318347f34f,,0xa0c85ffaff895c0cf5aed1993dc6e3195adf593b,0x047669ebb4ec165d2bd5e78706e9aede04bf095a,arb1,eth,cctpv2,PENDING,YXJiMS8weGJiYjMzNTFkNDg2MTg2ZmYyNWY4ZThiYTkxMWRkN2E4NDI1N2FjZjE4ZGU5MDY1Mzg1ODhjZTViNzc0MjM0NGM
